timestamp,provider,model,latency_s
"2025-10-27T10:35:39.466382","ollama","gemma3:4b",1.767829
"2025-10-27T10:35:07.645740","ollama","gemma3:4b",1.745943
"2025-10-27T10:34:35.839279","ollama","gemma3:4b",1.708021
"2025-10-27T10:34:04.072146","ollama","gemma3:4b",1.821356
"2025-10-27T10:33:32.193242","ollama","gemma3:4b",1.574535
"2025-10-27T10:33:00.571020","ollama","gemma3:4b",1.687694
"2025-10-27T10:32:28.834879","ollama","gemma3:4b",1.648149
"2025-10-27T10:31:57.135638","ollama","gemma3:4b",1.548531
"2025-10-27T10:31:25.534495","ollama","gemma3:4b",1.529731
"2025-10-27T10:30:53.955042","ollama","gemma3:4b",1.737113
"2025-10-27T10:30:22.162955","ollama","gemma3:4b",1.613716
"2025-10-27T10:29:50.042523","ollama","gemma3:4b",1.530882
"2025-10-27T10:29:18.457993","ollama","gemma3:4b",1.737967
"2025-10-27T10:28:46.665504","ollama","gemma3:4b",1.696383
"2025-10-27T10:28:14.918924","ollama","gemma3:4b",1.594506
"2025-10-27T10:27:43.271577","ollama","gemma3:4b",1.817253
"2025-10-27T10:27:11.399171","ollama","gemma3:4b",1.438878
"2025-10-27T10:26:39.906562","ollama","gemma3:4b",1.538517
"2025-10-27T10:26:08.312670","ollama","gemma3:4b",1.563719
"2025-10-27T10:25:36.698610","ollama","gemma3:4b",1.685855
"2025-10-27T10:25:04.958751","ollama","gemma3:4b",1.608654
"2025-10-27T10:24:33.295771","ollama","gemma3:4b",1.868657
"2025-10-27T10:24:01.369169","ollama","gemma3:4b",1.742966
"2025-10-27T10:23:29.572407","ollama","gemma3:4b",1.544919
"2025-10-27T10:22:57.973079","ollama","gemma3:4b",1.547674
"2025-10-27T10:22:26.372852","ollama","gemma3:4b",1.543251
"2025-10-27T10:21:54.779461","ollama","gemma3:4b",1.650014
"2025-10-27T10:21:23.074997","ollama","gemma3:4b",1.613791
"2025-10-27T10:20:51.408375","ollama","gemma3:4b",1.627143
"2025-10-27T10:20:19.726370","ollama","gemma3:4b",1.770534
"2025-10-27T10:19:47.899443","ollama","gemma3:4b",1.625929
"2025-10-27T10:19:16.227626","ollama","gemma3:4b",1.669111
"2025-10-27T10:18:44.506354","ollama","gemma3:4b",1.636222
"2025-10-27T10:18:12.816265","ollama","gemma3:4b",1.776561
"2025-10-27T10:17:40.985700","ollama","gemma3:4b",1.730127
"2025-10-27T10:17:09.200110","ollama","gemma3:4b",1.627840
"2025-10-27T10:16:37.514508","ollama","gemma3:4b",1.555451
"2025-10-27T10:16:05.904764","ollama","gemma3:4b",1.566124
"2025-10-27T10:15:34.286194","ollama","gemma3:4b",1.650986
"2025-10-27T10:15:02.571704","ollama","gemma3:4b",1.651024
"2025-10-27T10:14:30.864282","ollama","gemma3:4b",1.745419
"2025-10-27T10:13:59.064230","ollama","gemma3:4b",1.603931
"2025-10-27T10:13:27.405168","ollama","gemma3:4b",1.467864
"2025-10-27T10:12:55.882684","ollama","gemma3:4b",1.453544
"2025-10-27T10:12:24.377457","ollama","gemma3:4b",1.573388
"2025-10-27T10:11:52.749154","ollama","gemma3:4b",1.707437
"2025-10-27T10:11:20.988238","ollama","gemma3:4b",1.649434
"2025-10-27T10:10:49.285870","ollama","gemma3:4b",1.686863
"2025-10-27T10:10:17.542662","ollama","gemma3:4b",1.549958
"2025-10-27T10:09:45.939454","ollama","gemma3:4b",1.832217
"2025-10-27T10:09:14.055168","ollama","gemma3:4b",1.541224
"2025-10-27T10:08:42.462447","ollama","gemma3:4b",1.581636
"2025-10-27T10:08:10.825600","ollama","gemma3:4b",1.601111
"2025-10-27T10:07:39.171464","ollama","gemma3:4b",1.684695
"2025-10-27T10:07:07.434422","ollama","gemma3:4b",1.719487
"2025-10-27T10:06:35.661701","ollama","gemma3:4b",1.703940
"2025-10-27T10:06:03.907510","ollama","gemma3:4b",1.598367
"2025-10-27T10:05:32.253633","ollama","gemma3:4b",1.693576
"2025-10-27T10:04:59.989696","ollama","gemma3:4b",2.014674
"2025-10-27T10:04:27.920566","ollama","gemma3:4b",1.723553
"2025-10-27T10:03:56.142568","ollama","gemma3:4b",1.656917
"2025-10-27T10:03:24.434365","ollama","gemma3:4b",1.690533
"2025-10-27T10:02:52.690197","ollama","gemma3:4b",1.759412
"2025-10-27T10:02:20.879371","ollama","gemma3:4b",1.628620
"2025-10-27T10:01:49.198352","ollama","gemma3:4b",1.598297
"2025-10-27T10:01:17.546999","ollama","gemma3:4b",1.691584
"2025-10-27T10:00:45.811852","ollama","gemma3:4b",1.615944
"2025-10-27T10:00:14.143374","ollama","gemma3:4b",1.846480
"2025-10-27T09:59:42.244739","ollama","gemma3:4b",1.624181
"2025-10-27T09:59:10.569613","ollama","gemma3:4b",1.460422
"2025-10-27T09:58:39.054574","ollama","gemma3:4b",1.592963
"2025-10-27T09:58:07.408443","ollama","gemma3:4b",1.503272
"2025-10-27T09:57:35.853028","ollama","gemma3:4b",1.797848
